"DESKTOP-VQ7MEB2","\Microsoft\Windows\CloudRestore\Backup","2025/07/31 0:53:15","準備完了","対話型/バックグラウンド","2025/07/22 18:58:09","0","Microsoft Corporation","COM ハンドラー","N/A","クラウドからの設定の復元を処理します","有効","無効","","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\CloudRestore\Backup","2025/07/31 9:12:55","準備完了","対話型/バックグラウンド","2025/07/22 18:58:09","0","Microsoft Corporation","COM ハンドラー","N/A","クラウドからの設定の復元を処理します","有効","無効","","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","12:00:00","2023/07/01","N/A","8 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\CloudRestore\Restore","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","クラウドからの設定の復元を処理します","有効","無効","","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\ConsentUX\UnifiedConsent\UnifiedConsentSyncTask","2025/07/26 13:43:51","準備完了","対話型/バックグラウンド","2025/07/25 12:47:52","0","$(@%systemRoot%\system32\unifiedconsent.dll,-102)","COM ハンドラー","N/A","$(@%systemRoot%\system32\unifiedconsent.dll,-101)","有効","無効","","INTERACTIVE","無効","00:05:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\ConsentUX\UnifiedConsent\UnifiedConsentSyncTask","2025/07/26 12:54:27","準備完了","対話型/バックグラウンド","2025/07/25 12:47:52","0","$(@%systemRoot%\system32\unifiedconsent.dll,-102)","COM ハンドラー","N/A","$(@%systemRoot%\system32\unifiedconsent.dll,-101)","有効","無効","","INTERACTIVE","無効","00:05:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","12:00:00","2024/09/01","N/A","N/A","N/A","24 時間、0 分","なし","無効","無効"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Containers\CmCleanup","N/A","準備完了","対話型/バックグラウンド","2025/05/26 9:58:41","0","Microsoft Corporation","COM ハンドラー","N/A","コンテナー コンポーネントのクリーンアップを適切なタイミングで実行します","有効","無効","バッテリで開始しない","SYSTEM","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Customer Experience Improvement Program\Consolidator","2025/07/26 0:00:00","準備完了","対話型/バックグラウンド","2025/07/25 18:00:01","0","Microsoft Corporation","%SystemRoot%\System32\wsqmcons.exe ","N/A","Windows カスタマー エクスペリエンス向上プログラムに参加する場合は、使用データが Microsoft へ送信されます。","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","0:00:00","2004/01/02","N/A","N/A","N/A","6 時間、0 分","なし","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip","N/A","準備完了","対話型/バックグラウンド","2025/07/21 2:56:13","0","Microsoft Corporation","COM ハンドラー","N/A","USB CEIP (カスタマー エクスペリエンス向上プログラム) タスクは、ご使用のコンピューターのユニバーサル シリアル バス関連の統計情報を収集し、Microsoft の Windows Device Connectivity エンジニアリング グループに送信します。送信された情報は、Windows における USB の信頼性、安定性、および全体的な機能向上のために使用されます。ユーザーが Windows CEIP への参加に同意していない場合、このタスクは何も行いません。","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan","2025/07/25 23:25:17","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","フォールト トレラント ボリュームの潜在的な破損をスキャンします","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","無効","スケジュール データをこの形式で使用することはできません。","毎日 ","23:00:00","2011/01/01","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan","2025/07/25 23:07:17","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","フォールト トレラント ボリュームの潜在的な破損をスキャンします","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","無効","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","フォールト トレラント ボリュームの潜在的な破損をスキャンします","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","無効","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","フォールト トレラント ボリュームの高速クラッシュ回復機能をスキャンします","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","無効","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Defrag\ScheduledDefrag","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","%windir%\system32\defrag.exe -c -h -o -$","N/A","このタスクにより、ローカル記憶域ドライブが最適化されます。","無効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Device Information\Device","2025/07/26 3:28:53","準備完了","対話型/バックグラウンド","2025/07/25 8:14:23","0","N/A","%windir%\system32\devicecensus.exe SystemCxt","N/A","N/A","有効","無効","","SYSTEM","無効","96:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","3:00:00","2008/09/01","N/A","N/A","N/A","24 時間、0 分","なし","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Device Information\Device","2025/07/26 4:23:44","準備完了","対話型/バックグラウンド","2025/07/25 8:14:23","0","N/A","%windir%\system32\devicecensus.exe SystemCxt","N/A","N/A","有効","無効","","SYSTEM","無効","96:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Device Information\Device User","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:48:20","0","N/A","%windir%\system32\devicecensus.exe UserCxt","N/A","N/A","有効","1 分アイドルだった場合にのみ開始, 1440 分アイドルでない場合再実行","","INTERACTIVE","無効","96:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Device Setup\Driver Recovery on Reboot","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","$(@%SystemRoot%\system32\DeviceSetupManagerAPI.dll,-600)","COM ハンドラー","N/A","$(@%SystemRoot%\system32\DeviceSetupManagerAPI.dll,-602)","無効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner","N/A","準備完了","対話型/バックグラウンド","2025/02/28 3:31:40","0","Microsoft Corporation","COM ハンドラー","N/A","Microsoft 推奨のトラブルシューティングを確認する","有効","無効","","SYSTEM","無効","00:30:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner","N/A","準備完了","対話型/バックグラウンド","2025/02/28 3:31:40","0","Microsoft Corporation","COM ハンドラー","N/A","Microsoft 推奨のトラブルシューティングを確認する","有効","無効","","SYSTEM","無効","00:30:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner","N/A","準備完了","対話型/バックグラウンド","2025/02/28 3:31:40","0","Microsoft Corporation","COM ハンドラー","N/A","Microsoft 推奨のトラブルシューティングを確認する","有効","無効","","SYSTEM","無効","00:30:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner","N/A","準備完了","対話型/バックグラウンド","2025/02/28 3:31:40","0","Microsoft Corporation","COM ハンドラー","N/A","Microsoft 推奨のトラブルシューティングを確認する","有効","無効","","SYSTEM","無効","00:30:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Diagnosis\Scheduled","N/A","準備完了","対話型/バックグラウンド","2025/07/25 19:45:56","0","Microsoft Corporation","COM ハンドラー","N/A","Windows のスケジュールされたメンテナンス タスクは、コンピューター システムのメンテナンスを定期的に実行し、問題を自動解決するか、セキュリティとメンテナンスを通じて報告します。","有効","無効","バッテリ モードで停止, バッテリで開始しない","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Diagnosis\UnexpectedCodepath","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:14:46","0","N/A","%windir%\system32\UCConfigTask.exe ","N/A","N/A","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DirectX\DirectXDatabaseUpdater","N/A","準備完了","対話型/バックグラウンド","2025/07/10 8:43:01","0","N/A","%windir%\system32\directxdatabaseupdater.exe ","N/A","N/A","有効","無効","","SYSTEM","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DirectX\DirectXDatabaseUpdater","N/A","準備完了","対話型/バックグラウンド","2025/07/10 8:43:01","0","N/A","%windir%\system32\directxdatabaseupdater.exe ","N/A","N/A","有効","無効","","SYSTEM","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DirectX\DXGIAdapterCache","N/A","準備完了","対話型/バックグラウンド","2025/07/23 21:44:43","0","N/A","%windir%\system32\dxgiadaptercache.exe ","N/A","N/A","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DirectX\DXGIAdapterCache","N/A","準備完了","対話型/バックグラウンド","2025/07/23 21:44:43","0","N/A","%windir%\system32\dxgiadaptercache.exe ","N/A","N/A","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DirectX\DXGIAdapterCache","N/A","準備完了","対話型/バックグラウンド","2025/07/23 21:44:43","0","N/A","%windir%\system32\dxgiadaptercache.exe ","N/A","N/A","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DiskCleanup\SilentCleanup","N/A","準備完了","対話型/バックグラウンド","2025/07/25 21:24:40","-2147020576","Microsoft Corporation","%windir%\system32\cleanmgr.exe /autocleanstoragesense /d %systemdrive%","N/A","システムによって使用されるメンテナンス タスクです。ディスクの空き領域が少なくなった場合に、ダイアログを表示しないで自動的にディスク クリーンアップを起動します。","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","Users","無効","00:15:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector","N/A","無効","対話型/バックグラウンド","2025/04/22 19:09:17","0","Microsoft Corporation","%windir%\system32\rundll32.exe dfdts.dll,DfdGetDefaultPolicyAndSMART","N/A","ユーザーがカスタマー エクスペリエンス プログラムに参加している場合、ディスクとシステムに関する全般的な情報が Windows ディスク診断ツールによって Microsoft に報告されます。","無効","無効","バッテリで開始しない","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","%windir%\system32\DFDWiz.exe ","N/A","Microsoft-Windows-DiskDiagnosticResolver は、S.M.A.R.T. (Self Monitoring and Reporting Technology) 標準をサポートするハード ディスクから障害が報告された場合に、ユーザーに警告します。S.M.A.R.T. 障害が検出されると、診断ポリシー サービスによってこのタスクが自動的に開始されます。","無効","無効","","Users","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DiskFootprint\Diagnostics","N/A","準備完了","対話型/バックグラウンド","2025/07/25 19:45:56","0","N/A","%windir%\system32\disksnapshot.exe -z","N/A","N/A","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DiskFootprint\StorageSense","N/A","準備完了","対話型/バックグラウンド","2025/07/25 19:45:56","-2147221164","N/A","COM ハンドラー","N/A","N/A","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\DUSM\dusmtask","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","%SystemRoot%\System32\dusmtask.exe ","N/A","N/A","有効","無効","","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\EDP\EDP App Launch Task","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","COM ハンドラー","N/A","N/A","有効","無効","バッテリ モードで停止","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\EDP\EDP Auth Task","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","COM ハンドラー","N/A","N/A","有効","無効","バッテリ モードで停止","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\EDP\EDP Inaccessible Credentials Task","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","COM ハンドラー","N/A","N/A","有効","無効","バッテリ モードで停止","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\EDP\StorageCardEncryption Task","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","COM ハンドラー","N/A","N/A","有効","無効","","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh","N/A","準備完了","対話型/バックグラウンド","2025/07/23 21:43:42","0","Microsoft Corporation","COM ハンドラー","N/A","コンピューターの Exploit Protection の設定に変更を適用するためのタスク。","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh","N/A","準備完了","対話型/バックグラウンド","2025/07/23 21:43:42","0","Microsoft Corporation","COM ハンドラー","N/A","コンピューターの Exploit Protection の設定に変更を適用するためのタスク。","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh","N/A","準備完了","対話型/バックグラウンド","2025/07/23 21:43:42","0","Microsoft Corporation","COM ハンドラー","N/A","コンピューターの Exploit Protection の設定に変更を適用するためのタスク。","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Feedback\Siuf\DmClient","N/A","準備完了","対話型/バックグラウンド","2025/07/25 19:45:56","0","Microsoft Windows Feedback","%windir%\system32\dmclient.exe ","N/A","Update SIUF strings","有効","無効","","SYSTEM","無効","00:05:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
